ID,DENOM,TIPO,N_EDIZ,DESCRIZ,DATA_IN,ORA_IN,DATA_FINE,ORA FINE,ANNO,PROV,ISTAT,COMUNE,TOPONIMO,INDIRIZZO,CIVICO,CAP,SOMMINIS,SITO_WEB,NOME_ORG,PROGRAMMA,GEN_AUTOMATICA_PROGRAMMA,GEO_X,GEO_Y,location
17884,FESTA DEL CINGHIALE,Sagra,2024,,19/07/2024,18:00,21/07/2024,23:59,2024,BS,017187,TOSCOLANO MADERNO,LOCALITA',SANICO,,25088,S,,ASSOCIAZIONE Z6S1-CINGHIALAI DEL GARDA,https://www.procedimenti.servizirl.it/sagre/public/programma/17884,NO,10.60570154,45.6545753,POINT (10.60570154 45.6545753)
17818,SAN SEBASTIANO,Sagra,II,festa patronale,19/01/2024,00:00,21/01/2024,23:59,2024,BS,017096,LUMEZZANE,VIA,VITTORIO VENETO,25065,25065,S,,Zanelli Vigilio,https://www.procedimenti.servizirl.it/sagre/public/programma/17818,NO,10.26721429,45.6514261,POINT (10.26721429 45.6514261)
18067,SAGRA DELLA POLENTA,Sagra,7,"I cuochi del gruppo I Paisan prepareranno piatti tipici della tradizione brianzola: la polenta accompagnata da diversi abbinamenti, che vanno dal brasato alla salsiccia, al salame cotto con lenticchie, ai formaggi vari, alla tradizionale cazzuola, ma anche semplicemente con il latte fresco.",15/06/2024,12:00,16/06/2024,23:59,2024,CO,013003,ALBAVILLA,LOCALITA',CARCANO,22031,22031,S,gruppoipaisan.blogspot.com,GRUPPO FOLKLORE I PAISAN,https://www.procedimenti.servizirl.it/sagre/public/programma/18067,SI,9.19162492,45.79510524,POINT (9.19162492 45.79510524)
19054,FIERA DEL MESE MARIANO,Fiera,46,"Valorizzazione del territorio, dei prodotti tipici e della cultura",12/05/2024,09:00,26/05/2024,18:00,2024,MN,020021,CURTATONE,VIA,VIA FRANCESCA,,46010,S,www.comune.curtatone.mn.it,Comune di Curtatone,https://www.procedimenti.servizirl.it/sagre/public/programma/19054,NO,10.7130706,45.10921521,POINT (10.7130706 45.10921521)
17851,FESTADIGIUGNO,Sagra,3,VISITE GUIDATE-MUSICA-BALLI-SOMMINISTRAZIONE,16/06/2024,09:00,16/06/2024,19:00,2024,MI,015087,CORNAREDO,VIA,MERENDI,28,20007,S,,ITALIA NOSTRA,https://www.procedimenti.servizirl.it/sagre/public/programma/17851,NO,9.03157577,45.48661812,POINT (9.03157577 45.48661812)
17571,FIACCOLATA SAN FERMO,Fiera,ND,"Fiera in piazza, in attesa dell'arrivo della fiaccolata dal monte San Fermo.",07/08/2024,13:00,08/08/2024,23:59,2024,BS,017022,BORNO,PIAZZA,GIOVANNI PAOLO II,1,25042,N,www.bornoturismo.it,PRO LOCO BORNO,https://www.procedimenti.servizirl.it/sagre/public/programma/17571,NO,10.17078815,45.9393455,POINT (10.17078815 45.9393455)
18803,1K SHOT / GARA DA LI CONTRADA DA LIVIGN,Sagra,0,,29/08/2024,20:30,29/08/2024,23:59,2024,SO,014037,LIVIGNO,ZONA,VIE DEL PAESE,,23041,S,,APT LIVIGNO,https://www.procedimenti.servizirl.it/sagre/public/programma/18803,NO,10.12867249,46.51837123,POINT (10.12867249 46.51837123)
18637,LA NOTTE VIOLA,Sagra,9,"ANIMAZIONE E INTRATTENIMENTO LUNGO LE VIE DEL PAESE, DEGUSTAZIONE DI PRODOTTI TIPICI PRESSO I RISTORANTI BAR ED ESERCIZI COMMERCIALI",03/08/2024,16:00,03/08/2024,23:59,2024,SO,014071,VALDIDENTRO,LOCALITA',ISOLACCIA,23038,23038,S,,PRO LOCO VALDIDENTRO,https://www.procedimenti.servizirl.it/sagre/public/programma/18637,NO,10.28245165,46.40290389,POINT (10.28245165 46.40290389)
18574,SERATA DANZANTE,Sagra,28,SERATA DANZANTE E CENA CON PRODOTTI TIPICI,06/07/2024,19:00,06/07/2024,23:59,2024,SO,014055,RASURA,LOCALITA',FOPPA,23010,23010,S,prolocorasura.wordpress.com,PROLOCO RASURA MELLAROLO,https://www.procedimenti.servizirl.it/sagre/public/programma/18574,NO,9.5486322,46.10098766,POINT (9.5486322 46.10098766)
19206,FIERA DI MAGGIO,Fiera,46,Fiera di merci,13/05/2024,07:00,13/05/2024,18:00,2024,SO,014026,DELEBIO,VIA,LUCINI LOCALITA' GERA,23014,23014,S,www.comune.delebio.so.it,Avv . Erica Alberti -Sindaco,https://www.procedimenti.servizirl.it/sagre/public/programma/19206,SI,9.44395215,46.11667462,POINT (9.44395215 46.11667462)
17824,SAN LUIGI,Sagra,1,PATRONALE,28/09/2024,19:00,29/09/2024,23:59,2024,BS,017096,LUMEZZANE,VIA,MATTEOTTI,25065,25065,S,,BERGAMASCHI RICCARDO,https://www.procedimenti.servizirl.it/sagre/public/programma/17824,NO,10.24440881,45.65633455,POINT (10.24440881 45.65633455)
19781,1° MAGGIO - MERCATO AGRICOLO,Sagra,3,,01/05/2024,09:00,01/05/2024,19:00,2024,BG,016005,ALME',PIAZZA,LEMINE,24011,24011,S,,MASSIMO BANDERA,https://www.procedimenti.servizirl.it/sagre/public/programma/19781,SI,9.6146784,45.73855931,POINT (9.6146784 45.73855931)
20497,SERATA PRESSO AZIENDA AGRICOLA BERTOLI EMILIANA,Sagra,2024,SERATA PRESSO UN FRUTTETO,11/06/2024,20:00,11/06/2024,23:59,2024,BS,017150,PONTOGLIO,VIA,CIVIDATE,,25037,S,,GRUPPO SOCIO CULTURALE TERZO MILLENNIO,https://www.procedimenti.servizirl.it/sagre/public/programma/20497,SI,9.85054917,45.56814764,POINT (9.85054917 45.56814764)
19339,PANEM ET CIRCENSES,Sagra,43,,05/07/2024,08:00,07/07/2024,23:59,2024,BS,017055,CIVIDATE CAMUNO,LUNGOFIUME,VIA LUNGOOGLIO,25040,25040,S,,PRO-LOCO DI CIVIDATESE,https://www.procedimenti.servizirl.it/sagre/public/programma/19339,SI,10.26570199,45.93885129,POINT (10.26570199 45.93885129)
